DEBUG:unityagents:The true file name is Tennis
DEBUG:unityagents:This is the launch string /playground/envs/Tennis_Linux_NoVis/Tennis.x86_64
Found path: /playground/envs/Tennis_Linux_NoVis/Tennis.x86_64
Mono path[0] = '/playground/envs/Tennis_Linux_NoVis/Tennis_Data/Managed'
Mono config path = '/playground/envs/Tennis_Linux_NoVis/Tennis_Data/MonoBleedingEdge/etc'
Preloaded 'libgrpc_csharp_ext.x64.so'
Unable to preload the following plugins:
	libgrpc_csharp_ext.x86.so
PlayerPrefs - Creating folder: /root/.config/unity3d/Unity Technologies
PlayerPrefs - Creating folder: /root/.config/unity3d/Unity Technologies/Unity Environment
Logging to /root/.config/unity3d/Unity Technologies/Unity Environment/Player.log
INFO:unityagents:
'Academy' started successfully!
Unity Academy name: Academy
        Number of Brains: 1
        Number of External Brains : 1
        Lesson number : 0
        Reset Parameters :
		
Unity brain name: TennisBrain
        Number of Visual Observations (per agent): 0
        Vector Observation space type: continuous
        Vector Observation space size (per agent): 8
        Number of stacked Vector Observation: 3
        Vector Action space type: continuous
        Vector Action space size (per agent): 2
        Vector Action descriptions: , 
INFO:train.py:Episode 131/2000: eps: 0.298, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 132/2000: eps: 0.298, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 15
INFO:train.py:Episode 133/2000: eps: 0.298, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 134/2000: eps: 0.298, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 135/2000: eps: 0.298, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 136/2000: eps: 0.298, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 137/2000: eps: 0.298, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 15
INFO:train.py:Episode 138/2000: eps: 0.298, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 139/2000: eps: 0.298, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 140/2000: eps: 0.298, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 141/2000: eps: 0.298, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 142/2000: eps: 0.298, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 15
